algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns
lineal,100,inicio,0,95,24760
binaria,100,inicio,0,6,11585
lineal,100,inicio,1,95,10785
binaria,100,inicio,1,6,4857
lineal,100,inicio,2,95,8643
binaria,100,inicio,2,6,4158
lineal,100,inicio,3,95,7786
binaria,100,inicio,3,6,4052
lineal,100,inicio,4,95,7752
binaria,100,inicio,4,6,3529
lineal,100,inicio,5,95,7730
binaria,100,inicio,5,6,3582
lineal,100,inicio,6,95,7498
binaria,100,inicio,6,6,3519
lineal,100,inicio,7,95,7647
binaria,100,inicio,7,6,3524
lineal,100,inicio,8,95,7563
binaria,100,inicio,8,6,3537
lineal,100,inicio,9,95,7564
binaria,100,inicio,9,6,3560
lineal,100,inicio,10,95,7539
binaria,100,inicio,10,6,3655
lineal,100,inicio,11,95,7562
binaria,100,inicio,11,6,3491
lineal,100,inicio,12,95,7416
binaria,100,inicio,12,6,3416
lineal,100,inicio,13,95,7452
binaria,100,inicio,13,6,3427
lineal,100,inicio,14,95,7395
binaria,100,inicio,14,6,3528
lineal,100,inicio,15,95,7477
binaria,100,inicio,15,6,3402
lineal,100,inicio,16,95,7455
binaria,100,inicio,16,6,3403
lineal,100,inicio,17,95,7472
binaria,100,inicio,17,6,3536
lineal,100,inicio,18,95,7457
binaria,100,inicio,18,6,3368
lineal,100,inicio,19,95,7402
binaria,100,inicio,19,6,3383
lineal,100,inicio,20,95,7398
binaria,100,inicio,20,6,4668
lineal,100,inicio,21,95,7594
binaria,100,inicio,21,6,3377
lineal,100,inicio,22,95,7448
binaria,100,inicio,22,6,3376
lineal,100,inicio,23,95,7457
binaria,100,inicio,23,6,3440
lineal,100,inicio,24,95,7403
binaria,100,inicio,24,6,3412
lineal,100,inicio,25,95,7418
binaria,100,inicio,25,6,3402
lineal,100,inicio,26,95,7469
binaria,100,inicio,26,6,3359
lineal,100,inicio,27,95,7572
binaria,100,inicio,27,6,3370
lineal,100,inicio,28,95,7415
binaria,100,inicio,28,6,3384
lineal,100,inicio,29,95,7386
binaria,100,inicio,29,6,3420
lineal,100,centro,0,68,6509
binaria,100,centro,0,6,3856
lineal,100,centro,1,68,6190
binaria,100,centro,1,6,3565
lineal,100,centro,2,68,6120
binaria,100,centro,2,6,3509
lineal,100,centro,3,68,6203
binaria,100,centro,3,6,3495
lineal,100,centro,4,68,6500
binaria,100,centro,4,6,3647
lineal,100,centro,5,68,6240
binaria,100,centro,5,6,3584
lineal,100,centro,6,68,7986
binaria,100,centro,6,6,6009
lineal,100,centro,7,68,6322
binaria,100,centro,7,6,3549
lineal,100,centro,8,68,6180
binaria,100,centro,8,6,17747
lineal,100,centro,9,68,6521
binaria,100,centro,9,6,3542
lineal,100,centro,10,68,6230
binaria,100,centro,10,6,3492
lineal,100,centro,11,68,6158
binaria,100,centro,11,6,3534
lineal,100,centro,12,68,8572
binaria,100,centro,12,6,5253
lineal,100,centro,13,68,9605
binaria,100,centro,13,6,5212
lineal,100,centro,14,68,9259
binaria,100,centro,14,6,4739
lineal,100,centro,15,68,9096
binaria,100,centro,15,6,6272
lineal,100,centro,16,68,10655
binaria,100,centro,16,6,3813
lineal,100,centro,17,68,6312
binaria,100,centro,17,6,3557
lineal,100,centro,18,68,6366
binaria,100,centro,18,6,3581
lineal,100,centro,19,68,6309
binaria,100,centro,19,6,3535
lineal,100,centro,20,68,6251
binaria,100,centro,20,6,3495
lineal,100,centro,21,68,6276
binaria,100,centro,21,6,3498
lineal,100,centro,22,68,6234
binaria,100,centro,22,6,3503
lineal,100,centro,23,68,6203
binaria,100,centro,23,6,3585
lineal,100,centro,24,68,7559
binaria,100,centro,24,6,11403
lineal,100,centro,25,68,6315
binaria,100,centro,25,6,3519
lineal,100,centro,26,68,6300
binaria,100,centro,26,6,3511
lineal,100,centro,27,68,6284
binaria,100,centro,27,6,3490
lineal,100,centro,28,68,6215
binaria,100,centro,28,6,3509
lineal,100,centro,29,68,6266
binaria,100,centro,29,6,3507
lineal,100,final,0,81,7152
binaria,100,final,0,7,3914
lineal,100,final,1,81,6880
binaria,100,final,1,7,3687
lineal,100,final,2,81,6860
binaria,100,final,2,7,3672
lineal,100,final,3,81,6854
binaria,100,final,3,7,4257
lineal,100,final,4,81,6928
binaria,100,final,4,7,3740
lineal,100,final,5,81,6850
binaria,100,final,5,7,3720
lineal,100,final,6,81,6872
binaria,100,final,6,7,3702
lineal,100,final,7,81,6873
binaria,100,final,7,7,3671
lineal,100,final,8,81,6964
binaria,100,final,8,7,3706
lineal,100,final,9,81,6880
binaria,100,final,9,7,3744
lineal,100,final,10,81,6845
binaria,100,final,10,7,3681
lineal,100,final,11,81,7014
binaria,100,final,11,7,3690
lineal,100,final,12,81,6835
binaria,100,final,12,7,3740
lineal,100,final,13,81,7071
binaria,100,final,13,7,3739
lineal,100,final,14,81,6954
binaria,100,final,14,7,3843
lineal,100,final,15,81,6900
binaria,100,final,15,7,3660
lineal,100,final,16,81,6894
binaria,100,final,16,7,3728
lineal,100,final,17,81,6848
binaria,100,final,17,7,3676
lineal,100,final,18,81,6861
binaria,100,final,18,7,3693
lineal,100,final,19,81,6860
binaria,100,final,19,7,3687
lineal,100,final,20,81,6855
binaria,100,final,20,7,3697
lineal,100,final,21,81,6865
binaria,100,final,21,7,3683
lineal,100,final,22,81,6932
binaria,100,final,22,7,3740
lineal,100,final,23,81,7179
binaria,100,final,23,7,3874
lineal,100,final,24,81,7117
binaria,100,final,24,7,3660
lineal,100,final,25,81,6921
binaria,100,final,25,7,3629
lineal,100,final,26,81,6887
binaria,100,final,26,7,3725
lineal,100,final,27,81,6902
binaria,100,final,27,7,3632
lineal,100,final,28,81,6912
binaria,100,final,28,7,11409
lineal,100,final,29,81,6915
binaria,100,final,29,7,3634
lineal,100,ausente,0,100,8125
binaria,100,ausente,0,7,3916
lineal,100,ausente,1,100,7816
binaria,100,ausente,1,7,3781
lineal,100,ausente,2,100,7826
binaria,100,ausente,2,7,3813
lineal,100,ausente,3,100,7800
binaria,100,ausente,3,7,3729
lineal,100,ausente,4,100,8949
binaria,100,ausente,4,7,5181
lineal,100,ausente,5,100,7859
binaria,100,ausente,5,7,3718
lineal,100,ausente,6,100,7748
binaria,100,ausente,6,7,3737
lineal,100,ausente,7,100,9897
binaria,100,ausente,7,7,3718
lineal,100,ausente,8,100,7863
binaria,100,ausente,8,7,3626
lineal,100,ausente,9,100,7786
binaria,100,ausente,9,7,3605
lineal,100,ausente,10,100,7820
binaria,100,ausente,10,7,3741
lineal,100,ausente,11,100,7742
binaria,100,ausente,11,7,3629
lineal,100,ausente,12,100,7781
binaria,100,ausente,12,7,3621
lineal,100,ausente,13,100,7786
binaria,100,ausente,13,7,3611
lineal,100,ausente,14,100,7720
binaria,100,ausente,14,7,3701
lineal,100,ausente,15,100,7797
binaria,100,ausente,15,7,3615
lineal,100,ausente,16,100,7734
binaria,100,ausente,16,7,3602
lineal,100,ausente,17,100,7771
binaria,100,ausente,17,7,3709
lineal,100,ausente,18,100,7813
binaria,100,ausente,18,7,3630
lineal,100,ausente,19,100,7769
binaria,100,ausente,19,7,3762
lineal,100,ausente,20,100,7764
binaria,100,ausente,20,7,3680
lineal,100,ausente,21,100,7751
binaria,100,ausente,21,7,3676
lineal,100,ausente,22,100,7842
binaria,100,ausente,22,7,3675
lineal,100,ausente,23,100,7796
binaria,100,ausente,23,7,3725
lineal,100,ausente,24,100,7796
binaria,100,ausente,24,7,3693
lineal,100,ausente,25,100,7806
binaria,100,ausente,25,7,19919
lineal,100,ausente,26,100,8034
binaria,100,ausente,26,7,4302
lineal,100,ausente,27,100,7887
binaria,100,ausente,27,7,3755
lineal,100,ausente,28,100,7787
binaria,100,ausente,28,7,3705
lineal,100,ausente,29,100,7731
binaria,100,ausente,29,7,3666
lineal,1000,inicio,0,181,43076
binaria,1000,inicio,0,9,30202
lineal,1000,inicio,1,181,30409
binaria,1000,inicio,1,9,22760
lineal,1000,inicio,2,181,30127
binaria,1000,inicio,2,9,22296
lineal,1000,inicio,3,181,30219
binaria,1000,inicio,3,9,22238
lineal,1000,inicio,4,181,34379
binaria,1000,inicio,4,9,22358
lineal,1000,inicio,5,181,30090
binaria,1000,inicio,5,9,22282
lineal,1000,inicio,6,181,30070
binaria,1000,inicio,6,9,22249
lineal,1000,inicio,7,181,30032
binaria,1000,inicio,7,9,22294
lineal,1000,inicio,8,181,30220
binaria,1000,inicio,8,9,22303
lineal,1000,inicio,9,181,30259
binaria,1000,inicio,9,9,25106
lineal,1000,inicio,10,181,30377
binaria,1000,inicio,10,9,22343
lineal,1000,inicio,11,181,30021
binaria,1000,inicio,11,9,22364
lineal,1000,inicio,12,181,30538
binaria,1000,inicio,12,9,22425
lineal,1000,inicio,13,181,30141
binaria,1000,inicio,13,9,22196
lineal,1000,inicio,14,181,33946
binaria,1000,inicio,14,9,48565
lineal,1000,inicio,15,181,30708
binaria,1000,inicio,15,9,22381
lineal,1000,inicio,16,181,30039
binaria,1000,inicio,16,9,22314
lineal,1000,inicio,17,181,30072
binaria,1000,inicio,17,9,22386
lineal,1000,inicio,18,181,37048
binaria,1000,inicio,18,9,22495
lineal,1000,inicio,19,181,30097
binaria,1000,inicio,19,9,22274
lineal,1000,inicio,20,181,30006
binaria,1000,inicio,20,9,22292
lineal,1000,inicio,21,181,30083
binaria,1000,inicio,21,9,26214
lineal,1000,inicio,22,181,39825
binaria,1000,inicio,22,9,22730
lineal,1000,inicio,23,181,30135
binaria,1000,inicio,23,9,22225
lineal,1000,inicio,24,181,40806
binaria,1000,inicio,24,9,22468
lineal,1000,inicio,25,181,35417
binaria,1000,inicio,25,9,22620
lineal,1000,inicio,26,181,30065
binaria,1000,inicio,26,9,24815
lineal,1000,inicio,27,181,30151
binaria,1000,inicio,27,9,22264
lineal,1000,inicio,28,181,40095
binaria,1000,inicio,28,9,22259
lineal,1000,inicio,29,181,30044
binaria,1000,inicio,29,9,22199
lineal,1000,centro,0,711,71929
binaria,1000,centro,0,9,37010
lineal,1000,centro,1,711,71985
binaria,1000,centro,1,9,22828
lineal,1000,centro,2,711,73056
binaria,1000,centro,2,9,23416
lineal,1000,centro,3,711,80920
binaria,1000,centro,3,9,22620
lineal,1000,centro,4,711,71067
binaria,1000,centro,4,9,22536
lineal,1000,centro,5,711,71323
binaria,1000,centro,5,9,22528
lineal,1000,centro,6,711,71142
binaria,1000,centro,6,9,22716
lineal,1000,centro,7,711,71710
binaria,1000,centro,7,9,22449
lineal,1000,centro,8,711,73405
binaria,1000,centro,8,9,22740
lineal,1000,centro,9,711,71468
binaria,1000,centro,9,9,22583
lineal,1000,centro,10,711,71152
binaria,1000,centro,10,9,22441
lineal,1000,centro,11,711,80232
binaria,1000,centro,11,9,22544
lineal,1000,centro,12,711,71189
binaria,1000,centro,12,9,22621
lineal,1000,centro,13,711,75690
binaria,1000,centro,13,9,22544
lineal,1000,centro,14,711,71607
binaria,1000,centro,14,9,22504
lineal,1000,centro,15,711,71435
binaria,1000,centro,15,9,22509
lineal,1000,centro,16,711,71074
binaria,1000,centro,16,9,22508
lineal,1000,centro,17,711,71517
binaria,1000,centro,17,9,22466
lineal,1000,centro,18,711,80306
binaria,1000,centro,18,9,22961
lineal,1000,centro,19,711,73786
binaria,1000,centro,19,9,22559
lineal,1000,centro,20,711,71455
binaria,1000,centro,20,9,22535
lineal,1000,centro,21,711,79104
binaria,1000,centro,21,9,22586
lineal,1000,centro,22,711,71000
binaria,1000,centro,22,9,22515
lineal,1000,centro,23,711,75388
binaria,1000,centro,23,9,22641
