algoritmo,n,escenario,comparaciones_promedio,comparaciones_mediana,comparaciones_min,comparaciones_max,tiempo_ns_promedio,tiempo_ns_mediana,tiempo_ns_min,tiempo_ns_max
binaria,100,ausente,7.0,7.0,7,7,4308.033333333334,3707.0,3602,19919
binaria,100,centro,6.0,6.0,6,6,4617.033333333334,3553.0,3490,17747
binaria,100,final,7.0,7.0,7,7,3987.766666666667,3699.5,3629,11409
binaria,100,inicio,6.0,6.0,6,6,3857.3333333333335,3465.5,3359,11585
binaria,1000,ausente,10.0,10.0,10,10,23299.666666666668,22795.5,22646,31023
binaria,1000,centro,9.0,9.0,9,9,23159.7,22544.0,22420,37010
binaria,1000,final,10.0,10.0,10,10,23507.166666666668,22723.5,22536,30177
binaria,1000,inicio,9.0,9.0,9,9,23797.233333333334,22350.5,22196,48565
binaria,10000,ausente,14.0,14.0,14,14,232491.6,216465.0,207799,359658
binaria,10000,centro,13.0,13.0,13,13,214288.16666666666,210900.0,206932,246896
binaria,10000,final,12.0,12.0,12,12,238867.66666666666,219318.0,205901,372168
binaria,10000,inicio,12.0,12.0,12,12,211216.7,208932.0,205544,227126
binaria,100000,ausente,17.0,17.0,17,17,4194507.2,4156567.5,2856582,6041247
binaria,100000,centro,1.0,1.0,1,1,2626132.2,2365909.5,2244082,4028390
binaria,100000,final,13.0,13.0,13,13,2541634.533333333,2306225.5,2225434,4369999
binaria,100000,inicio,16.0,16.0,16,16,2421394.3333333335,2379322.5,2274718,2803370
lineal,100,ausente,100.0,100.0,100,100,7919.866666666667,7796.5,7720,9897
lineal,100,centro,68.0,68.0,68,68,6907.866666666667,6304.5,6120,10655
lineal,100,final,81.0,81.0,81,81,6922.666666666667,6890.5,6835,7179
lineal,100,inicio,95.0,95.0,95,95,8230.5,7474.5,7386,24760
lineal,1000,ausente,1000.0,1000.0,1000,1000,96901.06666666667,95139.5,94290,113176
lineal,1000,centro,711.0,711.0,711,711,73088.56666666667,71658.5,71000,80920
lineal,1000,final,480.0,480.0,480,480,52922.0,52374.5,52095,59173
lineal,1000,inicio,181.0,181.0,181,181,32283.166666666668,30185.0,30006,43076
lineal,10000,ausente,10000.0,10000.0,10000,10000,1191732.4666666666,1123240.0,1018263,1858529
lineal,10000,centro,8695.0,8695.0,8695,8695,952042.0333333333,934690.5,914693,1153181
lineal,10000,final,1360.0,1360.0,1360,1360,353701.7,339186.5,308345,579970
lineal,10000,inicio,1268.0,1268.0,1268,1268,313791.13333333336,308838.0,299592,356889
lineal,100000,ausente,100000.0,100000.0,100000,100000,20811188.2,20825389.0,18393962,23318015
lineal,100000,centro,2916.0,2916.0,2916,2916,2942136.2333333334,2691482.0,2493316,4639127
lineal,100000,final,88.0,88.0,88,88,2564882.2,2315947.0,2228666,6156216
lineal,100000,inicio,36691.0,36691.0,36691,36691,5749175.766666667,5605864.0,5392865,7817152
